moa1#1_1,moa1#1_2,moa1#1_3,moa1#1_4,moa1#1_5,moa1#1_6,moa1#1_7,moa1#1_8,moa1#1_9,moa1#1_10,moa1#2_1,moa1#2_2,moa1#2_3,moa1#2_4,moa1#2_5,moa1#2_6,moa1#2_7,moa1#2_8,moa1#2_9,moa1#2_10,moa2#1_1,moa2#1_2,moa2#1_3,moa2#1_4,moa2#1_5,moa2#1_6,moa2#1_7,moa2#1_8,moa2#1_9,moa2#1_10,moa2#2_1,moa2#2_2,moa2#2_3,moa2#2_4,moa2#2_5,moa2#2_6,moa2#2_7,moa2#2_8,moa2#2_9,moa2#2_10,moa_adult,idea_1,idea_2,idea_3,idea_4,idea_5,idea_6,idea_7,idea_8,swb_1,swb_2,swb_3,swb_4,swb_5,swb_6,mindful_1,mindful_2,mindful_3,mindful_4,mindful_5,mindful_6,mindful_7,mindful_8,mindful_9,mindful_10,mindful_11,mindful_12,mindful_13,mindful_14,mindful_15,belong_1,belong_2,belong_3,belong_4,belong_5,belong_6,belong_7,belong_8,belong_9,belong_10,belong_now,efficacy_1,efficacy_2,efficacy_3,efficacy_4,efficacy_5,efficacy_6,efficacy_7,efficacy_8,efficacy_9,efficacy_10,support_1,support_2,support_3,support_4,support_5,support_6,support_7,support_8,support_9,support_10,support_11,support_12,socmedia_1,socmedia_2,socmedia_3,socmedia_4,socmedia_5,socmedia_6,socmedia_7,socmedia_8,socmedia_9,socmedia_10,socmedia_11,usdream_1,usdream_2,transgres_freq,transgres_common,transgres_1,transgres_2,transgres_3,transgres_4,exploit_1,exploit_2,exploit_3,disability11,disability14_1,disability14_2,disability14_3,disability14_4,disability14_5,disability10_1,disability10_2,disability10_3,disability10_4,disability10_5,disability10_6,disability10_7,disability10_8,disability10_9,disability10_10,disability10_11,disability10_12,disability10_13,disability10_14,disability10_15,physsx_1,physsx_2,physsx_3,physsx_4,physsx_5,physsx_6,physsx_7,physsx_8,physsx_9,physsx_10,physsx_11,physsx_12,physsx_13,stress_1,stress_2,stress_3,stress_4,stress_5,stress_6,stress_7,stress_8,stress_9,stress_10,demo_mil,demo_us
7.0,5.0,7.0,3.0,3.0,7.0,3.0,3.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,7.0,7.0,3.0,7.0,5.0,5.0,7.0,3.0,5.0,7.0,4.0,1.0,1.0,7.0,1.0,7.0,7.0,4.0,4.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,5.0,5.0,6.0,3.3999999999999995,5.8,3.3999999999999995,2.2,6.999999999999999,5.8,5.8,4.6,3.3999999999999995,5.8,2.2,5.8,2.2,5.8,3.3999999999999995,4.0,5.5,2.5,7.0,5.5,2.5,4.0,5.5,4.0,2.5,7.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,7.0,5.0,5.0,5.0,7.0,6.0,5.0,7.0,6.0,5.5,5.5,4.0,5.5,2.5,5.5,4.0,1.0,5.5,7.0,7.0,5.5,5.5,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,7.0,4.0,4.0,7.0,5.5,5.5,4.0,4.0,4.0,5.5,4.0,1.0,7.0
7.0,5.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,1.0,7.0,7.0,1.0,7.0,4.0,4.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,4.0,4.6,5.8,5.8,2.2,6.999999999999999,6.999999999999999,5.8,4.6,4.6,4.6,4.6,6.999999999999999,3.3999999999999995,5.8,6.999999999999999,2.5,5.5,2.5,7.0,7.0,7.0,2.5,7.0,7.0,4.0,5.5,7.0,5.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,5.5,7.0,4.0,4.0,5.5,5.5,1.0,2.5,5.5,4.0,5.5,5.5,3.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,5.5,5.5,4.0,4.0,5.5,5.5,7.0,1.0,7.0
7.0,3.0,7.0,7.0,5.0,7.0,3.0,7.0,7.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,5.0,7.0,4.0,4.0,7.0,1.0,7.0,4.0,7.0,7.0,4.0,7.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,5.0,7.0,5.8,6.999999999999999,6.999999999999999,3.3999999999999995,5.8,2.2,4.6,6.999999999999999,3.3999999999999995,3.3999999999999995,3.3999999999999995,6.999999999999999,4.6,5.8,6.999999999999999,4.0,7.0,2.5,7.0,4.0,7.0,2.5,5.5,5.5,4.0,5.5,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,3.0,3.0,5.0,4.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,2.5,1.0,1.0,7.0
7.0,7.0,7.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,3.0,3.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,3.3999999999999995,5.8,4.6,3.3999999999999995,3.3999999999999995,5.8,4.6,5.8,5.8,4.6,3.3999999999999995,3.3999999999999995,3.3999999999999995,4.6,5.8,5.5,2.5,5.5,7.0,5.5,5.5,2.5,4.0,5.5,5.5,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,4.0,4.0,6.0,7.0,4.0,6.0,6.0,6.0,7.0,4.0,6.0,6.0,5.5,5.5,7.0,5.5,4.0,5.5,5.5,2.5,4.0,5.5,4.0,5.5,7.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.5,4.0,5.5,5.5,4.0,5.5,5.5,4.0,2.5,1.0,7.0
5.0,7.0,3.0,3.0,5.0,7.0,1.0,3.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,7.0,1.0,7.0,3.0,3.0,7.0,7.0,1.0,7.0,5.0,5.0,7.0,4.0,1.0,1.0,4.0,1.0,7.0,1.0,1.0,4.0,1.0,4.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,1.0,2.0,3.0,2.0,2.0,2.0,4.6,4.6,2.2,3.3999999999999995,4.6,3.3999999999999995,3.3999999999999995,4.6,4.6,4.6,3.3999999999999995,6.999999999999999,1.0,3.3999999999999995,3.3999999999999995,4.0,5.5,5.5,5.5,5.5,5.5,2.5,5.5,5.5,5.5,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,2.0,1.0,3.0,6.0,6.0,2.0,6.0,3.0,5.0,6.0,2.5,4.0,5.5,4.0,2.5,5.5,5.5,2.5,2.5,2.5,2.5,4.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,5.8,7.0,7.0,4.6,5.8,3.4,4.6,3.4,7.0,3.4,4.6,4.6,3.4,4.6,3.4,4.0,4.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,7.0,2.5,2.5,5.5,2.5,4.0,5.5,7.0,1.0,7.0
5.0,7.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,5.0,3.0,3.0,5.0,3.0,5.0,7.0,3.0,5.0,5.0,7.0,1.0,4.0,4.0,1.0,7.0,4.0,4.0,7.0,1.0,1.0,7.0,5.0,7.0,3.0,5.0,7.0,7.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.3999999999999995,4.6,5.8,2.2,2.2,5.8,3.3999999999999995,3.3999999999999995,4.6,4.6,4.6,5.8,4.6,5.8,5.8,5.5,2.5,2.5,7.0,5.5,5.5,2.5,2.5,5.5,2.5,4.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,5.0,6.0,7.0,7.0,6.0,5.5,2.5,5.5,2.5,2.5,5.5,5.5,2.5,5.5,4.0,4.0,5.5,5.5,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,4.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,4.0,4.0,5.5,5.5,5.5,4.0,4.0,2.5,4.0,4.0,1.0,7.0
5.0,5.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,4.0,4.0,1.0,1.0,1.0,4.0,7.0,7.0,7.0,1.0,5.0,5.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,3.0,7.0,1.0,7.0,7.0,1.0,7.0,4.0,4.0,4.0,1.0,7.0,5.0,5.0,7.0,7.0,5.0,3.0,7.0,7.0,3.0,2.0,3.0,3.0,5.0,3.0,3.3999999999999995,3.3999999999999995,2.2,3.3999999999999995,4.6,3.3999999999999995,4.6,3.3999999999999995,3.3999999999999995,4.6,4.6,5.8,2.2,3.3999999999999995,4.6,2.5,4.0,1.0,5.5,7.0,4.0,4.0,7.0,5.5,5.5,2.5,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,2.0,5.0,3.0,5.0,4.0,5.5,4.0,5.5,4.0,4.0,5.5,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,4.0,7.0,5.8,5.8,5.8,3.4,5.8,3.4,4.6,3.4,5.8,3.4,4.6,4.6,4.6,3.4,3.4,7.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,7.0,7.0,4.0,7.0,4.0,2.5,4.0,5.5,4.0,5.5,5.5,4.0,1.0,7.0
5.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,5.0,7.0,1.0,4.0,4.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,5.0,5.0,7.0,7.0,7.0,3.0,7.0,7.0,5.0,4.0,1.0,1.0,4.0,1.0,7.0,1.0,4.0,4.0,1.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,5.8,2.2,3.3999999999999995,2.2,5.8,5.8,4.6,3.3999999999999995,4.6,3.3999999999999995,3.3999999999999995,6.999999999999999,2.2,3.3999999999999995,6.999999999999999,1.0,5.5,1.0,7.0,7.0,4.0,4.0,7.0,5.5,5.5,4.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,7.0,6.0,4.0,5.0,5.0,7.0,5.0,4.0,6.0,6.0,5.5,2.5,7.0,5.5,4.0,4.0,4.0,2.5,4.0,5.5,5.5,5.5,5.5,3.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,4.0,4.0,3.4,5.8,5.8,4.6,2.2,5.8,3.4,4.6,5.8,5.8,5.8,4.6,3.4,4.6,2.2,1.0,1.0,4.0,7.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,7.0,4.0,7.0,4.0,7.0,4.0,4.0,5.5,4.0,4.0,7.0,5.5,1.0,7.0
5.0,5.0,7.0,3.0,3.0,7.0,5.0,5.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,1.0,1.0,7.0,1.0,7.0,4.0,7.0,7.0,1.0,7.0,7.0,5.0,5.0,7.0,5.0,5.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,5.8,6.999999999999999,6.999999999999999,2.2,4.6,1.0,4.6,4.6,3.3999999999999995,4.6,3.3999999999999995,6.999999999999999,4.6,3.3999999999999995,6.999999999999999,5.5,5.5,5.5,4.0,5.5,2.5,5.5,4.0,2.5,2.5,7.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,2.5,4.0,5.5,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.6,4.6,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,2.5,1.0,5.5,7.0,7.0,4.0,7.0,5.5,2.5,4.0,1.0,7.0
5.0,3.0,5.0,5.0,5.0,7.0,3.0,3.0,3.0,7.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,7.0,7.0,7.0,7.0,5.0,3.0,7.0,7.0,4.0,1.0,7.0,4.0,1.0,7.0,1.0,1.0,4.0,1.0,1.0,5.0,7.0,7.0,7.0,5.0,5.0,7.0,3.0,2.0,4.0,5.0,5.0,2.0,3.0,2.2,2.2,1.0,3.3999999999999995,2.2,2.2,2.2,4.6,2.2,4.6,4.6,2.2,1.0,3.3999999999999995,4.6,1.0,7.0,2.5,4.0,7.0,4.0,1.0,7.0,5.5,5.5,2.5,5.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,6.0,5.0,5.0,5.0,5.0,7.0,6.0,2.0,5.0,6.0,7.0,4.0,5.5,4.0,5.5,2.5,4.0,7.0,5.5,2.5,4.0,5.5,2.5,7.0,5.5,6.0,6.0,6.0,5.0,3.0,3.0,1.0,2.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,7.0,1.0,7.0,4.0,5.5,7.0,5.5,2.5,2.5,5.5,2.5,4.0,4.0,4.0,1.0,7.0
5.0,7.0,7.0,3.0,5.0,7.0,3.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,3.0,7.0,1.0,1.0,7.0,1.0,7.0,7.0,4.0,4.0,1.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,7.0,4.6,5.8,5.8,5.8,5.8,4.6,5.8,5.8,4.6,3.3999999999999995,3.3999999999999995,5.8,3.3999999999999995,4.6,5.8,7.0,2.5,1.0,7.0,4.0,1.0,7.0,2.5,4.0,2.5,1.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,2.5,4.0,5.5,5.5,4.0,5.5,5.5,1.0,4.0,4.0,4.0,5.5,4.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.5,5.5,5.5,5.5,4.0,4.0,4.0,2.5,2.5,1.0,7.0
5.0,5.0,7.0,7.0,5.0,7.0,3.0,7.0,5.0,7.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,5.0,5.0,7.0,7.0,1.0,7.0,7.0,4.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.6,3.3999999999999995,5.8,4.6,4.6,6.999999999999999,4.6,4.6,5.8,4.6,4.6,3.3999999999999995,5.8,2.2,4.6,7.0,5.5,5.5,5.5,5.5,7.0,1.0,7.0,7.0,4.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.5,5.5,7.0,5.5,4.0,5.5,5.5,4.0,7.0,5.5,7.0,7.0,3.0,1.0,3.0,1.0,1.0,1.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.0,7.0,7.0,4.0,7.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,7.0,4.0,5.5,5.5,7.0,5.5,5.5,2.5,5.5,4.0,5.5,1.0,7.0
3.0,1.0,7.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,5.0,1.0,1.0,7.0,1.0,7.0,5.0,5.0,7.0,1.0,4.0,1.0,1.0,7.0,1.0,7.0,4.0,7.0,7.0,1.0,4.0,7.0,5.0,3.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.8,4.6,5.8,6.999999999999999,5.8,1.0,3.3999999999999995,5.8,5.8,5.8,5.8,2.2,3.3999999999999995,5.8,5.8,4.0,5.5,5.5,7.0,5.5,2.5,7.0,4.0,2.5,2.5,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,2.5,4.0,2.5,4.0,5.5,5.5,1.0,5.5,5.5,5.5,5.5,5.5,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,4.0,5.8,3.4,3.4,5.8,3.4,5.8,3.4,5.8,5.8,5.8,5.8,5.8,3.4,5.8,5.8,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,7.0,7.0,2.5,7.0,7.0,4.0,2.5,1.0,7.0
7.0,5.0,7.0,5.0,3.0,7.0,3.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,1.0,7.0,4.0,4.0,4.0,1.0,7.0,7.0,7.0,5.0,5.0,3.0,5.0,7.0,7.0,6.0,7.0,7.0,6.0,4.0,2.0,4.6,4.6,2.2,2.2,4.6,5.8,5.8,4.6,3.3999999999999995,4.6,3.3999999999999995,5.8,1.0,3.3999999999999995,2.2,2.5,7.0,1.0,7.0,7.0,5.5,2.5,7.0,5.5,7.0,5.5,3.0,3.0,7.0,5.0,5.0,5.0,7.0,1.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.5,4.0,5.5,4.0,2.5,5.5,2.5,1.0,4.0,5.5,2.5,2.5,2.5,2.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,2.5,4.0,5.5,4.0,4.0,4.0,5.5,2.5,2.5,1.0,7.0
3.0,5.0,7.0,1.0,1.0,5.0,7.0,7.0,7.0,7.0,4.0,7.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,3.0,1.0,7.0,5.0,7.0,5.0,5.0,5.0,3.0,4.0,1.0,1.0,4.0,4.0,7.0,4.0,4.0,4.0,1.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,5.0,7.0,5.0,6.0,5.0,5.0,4.0,5.0,5.8,5.8,4.6,3.3999999999999995,3.3999999999999995,6.999999999999999,5.8,4.6,4.6,5.8,3.3999999999999995,2.2,3.3999999999999995,3.3999999999999995,3.3999999999999995,4.0,5.5,2.5,5.5,4.0,2.5,5.5,5.5,5.5,5.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,7.0,6.0,5.0,5.0,7.0,6.0,6.0,5.0,6.0,7.0,5.0,6.0,5.5,2.5,5.5,4.0,4.0,4.0,5.5,2.5,2.5,4.0,4.0,1.0,2.5,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,7.0,7.0,7.0,4.0,7.0,5.8,5.8,3.4,3.4,2.2,3.4,3.4,4.6,5.8,3.4,4.6,4.6,4.6,3.4,4.6,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,7.0,1.0,4.0,2.5,5.5,5.5,5.5,2.5,5.5,5.5,4.0,2.5,1.0,7.0
7.0,7.0,5.0,3.0,1.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,4.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,3.0,1.0,7.0,7.0,7.0,5.0,7.0,5.0,1.0,4.0,1.0,1.0,7.0,1.0,7.0,4.0,7.0,4.0,7.0,7.0,7.0,5.0,7.0,7.0,5.0,7.0,7.0,7.0,2.0,4.0,4.0,2.0,2.0,5.0,5.8,4.6,2.2,1.0,4.6,2.2,4.6,4.6,1.0,5.8,4.6,6.999999999999999,2.2,4.6,3.3999999999999995,2.5,2.5,4.0,7.0,5.5,4.0,2.5,4.0,2.5,4.0,5.5,5.0,5.0,7.0,5.0,7.0,5.0,5.0,7.0,5.0,5.0,7.0,7.0,5.0,3.0,6.0,7.0,6.0,3.0,7.0,7.0,5.0,7.0,5.5,1.0,5.5,2.5,4.0,4.0,2.5,1.0,4.0,1.0,2.5,2.5,2.5,4.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,5.8,4.6,5.8,5.8,3.4,4.6,5.8,7.0,4.6,4.6,7.0,5.8,4.6,4.6,4.0,4.0,7.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,7.0,7.0,4.0,5.5,5.5,5.5,4.0,2.5,4.0,4.0,4.0,2.5,1.0,1.0
5.0,3.0,7.0,5.0,3.0,5.0,5.0,1.0,5.0,7.0,7.0,7.0,7.0,4.0,1.0,7.0,4.0,4.0,1.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,5.0,5.0,3.0,5.0,7.0,7.0,4.0,4.0,4.0,1.0,4.0,7.0,4.0,7.0,7.0,5.0,7.0,5.0,7.0,7.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,7.0,5.0,4.6,5.8,2.2,3.3999999999999995,2.2,3.3999999999999995,3.3999999999999995,3.3999999999999995,4.6,3.3999999999999995,4.6,2.2,2.2,2.2,4.6,5.5,4.0,5.5,7.0,7.0,4.0,5.5,5.5,5.5,4.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,2.5,5.5,5.5,2.5,2.5,2.5,2.5,2.5,2.5,5.5,5.5,4.0,7.0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,3.0,5.0,7.0,7.0,7.0,7.0,4.0,7.0,5.8,5.8,4.6,4.6,4.6,4.6,4.6,4.6,5.8,4.6,5.8,4.6,4.6,4.6,4.6,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,7.0,7.0,5.5,4.0,5.5,4.0,2.5,4.0,4.0,4.0,4.0,5.5,1.0,7.0
7.0,5.0,7.0,3.0,3.0,7.0,1.0,1.0,7.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,7.0,3.0,7.0,5.0,7.0,7.0,5.0,5.0,3.0,7.0,1.0,1.0,7.0,1.0,7.0,7.0,7.0,4.0,1.0,7.0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,6.0,7.0,4.0,3.0,2.2,3.3999999999999995,1.0,1.0,1.0,5.8,2.2,3.3999999999999995,4.6,1.0,3.3999999999999995,5.8,1.0,1.0,3.3999999999999995,4.0,5.5,1.0,7.0,5.5,1.0,1.0,5.5,5.5,7.0,5.5,5.0,7.0,3.0,5.0,5.0,5.0,5.0,3.0,7.0,5.0,7.0,7.0,6.0,5.0,7.0,6.0,7.0,4.0,7.0,5.0,5.0,6.0,4.0,2.5,5.5,4.0,2.5,5.5,5.5,1.0,4.0,2.5,2.5,2.5,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,7.0,7.0,4.0,4.0,5.5,4.0,7.0,4.0,5.5,5.5,2.5,2.5,1.0,7.0
